symbol,R1,R2,R3,S1,S2,S3
ITCHOTELS,207.9473333,208.1746667,208.402,207.4926667,207.2653333,207.038
ITC,403.4625,403.875,404.2875,402.6375,402.225,401.8125
ITI,303.4629167,303.9258333,304.38875,302.5370833,302.0741667,301.61125
J&KBANK,103.7475833,103.8951667,104.04275,103.4524167,103.3048333,103.15725
JBCHEPHARM,1828.4375,1835.175,1841.9125,1814.9625,1808.225,1801.4875
JPPOWER,19.07041667,19.12083333,19.17125,18.96958333,18.91916667,18.86875
JBMA,603.2391667,604.1283333,605.0175,601.4608333,600.5716667,599.6825
JINDALSAW,164.2511667,164.5023333,164.7535,163.7488333,163.4976667,163.2465
JSL,748.9866667,750.1233333,751.26,746.7133333,745.5766667,744.44
JINDALSTEL,1008.119167,1010.438333,1012.7575,1003.480833,1001.161667,998.8425
JIOFIN,302.56625,302.8825,303.19875,301.93375,301.6175,301.30125
JKCEMENT,5633.075,5647.65,5662.225,5603.925,5589.35,5574.775
JKTYRE,475.6270833,477.2541667,478.88125,472.3729167,470.7458333,469.11875
JMFINANCIL,144.2693333,144.8486667,145.428,143.1106667,142.5313333,141.952
JSWENERGY,461.2616667,462.6733333,464.085,458.4383333,457.0266667,455.615
JSWINFRA,268.6791667,268.9083333,269.1375,268.2208333,267.9916667,267.7625
JSWSTEEL,1152.6075,1154.615,1156.6225,1148.5925,1146.585,1144.5775
JUBLFOOD,591.4729167,592.0458333,592.61875,590.3270833,589.7541667,589.18125
JUBLINGREA,690.6,692.8,695,686.2,684,681.8
JUBLPHARMA,1070.396667,1073.293333,1076.19,1064.603333,1061.706667,1058.81
JWL,275.7220833,276.1941667,276.66625,274.7779167,274.3058333,273.83375
JYOTHYLAB,294.165,294.88,295.595,292.735,292.02,291.305
JYOTICNC,963.7716667,965.8433333,967.915,959.6283333,957.5566667,955.485
KAJARIACER,1062.003333,1063.506667,1065.01,1058.996667,1057.493333,1055.99
KPIL,1173.095833,1176.991667,1180.8875,1165.304167,1161.408333,1157.5125
KALYANKJIL,490.8379167,491.5758333,492.31375,489.3620833,488.6241667,487.88625
KARURVYSYA,247.5763333,248.1226667,248.669,246.4836667,245.9373333,245.391
KAYNES,5011.55,5045.1,5078.65,4944.45,4910.9,4877.35
KEC,715.1308333,716.6616667,718.1925,712.0691667,710.5383333,709.0075
KEI,4192.965,4200.83,4208.695,4177.235,4169.37,4161.505
KFINTECH,1078.561667,1081.623333,1084.685,1072.438333,1069.376667,1066.315
KIRLOSBROS,1636.325,1639.35,1642.375,1630.275,1627.25,1624.225
KIRLOSENG,1173.964167,1182.828333,1191.6925,1156.235833,1147.371667,1138.5075
KOTAKBANK,2137.719167,2140.038333,2142.3575,2133.080833,2130.761667,2128.4425
KPITTECH,1272.449167,1275.098333,1277.7475,1267.150833,1264.501667,1261.8525
KPRMILL,985.6716667,988.8433333,992.015,979.3283333,976.1566667,972.985
KIMS,708.0579167,709.5658333,711.07375,705.0420833,703.5341667,702.02625
KSB,757.0495833,758.0991667,759.14875,754.9504167,753.9008333,752.85125
LTF,300.9541667,301.4583333,301.9625,299.9458333,299.4416667,298.9375
LTTS,4707.989167,4730.878333,4753.7675,4662.210833,4639.321667,4616.4325
LT,3987.954167,3992.308333,3996.6625,3979.245833,3974.891667,3970.5375
LATENTVIEW,458.6125,459.575,460.5375,456.6875,455.725,454.7625
LAURUSLABS,1015.305833,1017.111667,1018.9175,1011.694167,1009.888333,1008.0825
THELEELA,404.965,405.68,406.395,403.535,402.82,402.105
LEMONTREE,162.5088333,162.9176667,163.3265,161.6911667,161.2823333,160.8735
LICHSGFIN,547.5458333,548.1416667,548.7375,546.3541667,545.7583333,545.1625
LICI,877.4795833,878.3091667,879.13875,875.8204167,874.9908333,874.16125
LINDEINDIA,5810.495833,5820.991667,5831.4875,5789.504167,5779.008333,5768.5125
LLOYDSME,1197.725,1199.65,1201.575,1193.875,1191.95,1190.025
LODHA,1111.92,1114.34,1116.76,1107.08,1104.66,1102.24
LTFOODS,409.4616667,410.3233333,411.185,407.7383333,406.8766667,406.015
LTIM,6277.9625,6289.925,6301.8875,6254.0375,6242.075,6230.1125
LUPIN,2094.649167,2097.298333,2099.9475,2089.350833,2086.701667,2084.0525
M&MFIN,348.0725,349.145,350.2175,345.9275,344.855,343.7825
MGL,1172.566667,1174.033333,1175.5,1169.633333,1168.166667,1166.7
MAHSCOOTER,14500.78333,14540.56667,14580.35,14421.21667,14381.43333,14341.65
MAHSEAMLES,574.21,575.97,577.73,570.69,568.93,567.17
M&M,3676.916667,3682.233333,3687.55,3666.283333,3660.966667,3655.65
MANAPPURAM,274.6025,274.905,275.2075,273.9975,273.695,273.3925
MANKIND,2208.738333,2211.176667,2213.615,2203.861667,2201.423333,2198.985
MARICO,715.4108333,716.1716667,716.9325,713.8891667,713.1283333,712.3675
MARUTI,16016.73333,16039.46667,16062.2,15971.26667,15948.53333,15925.8
MFSL,1693.5525,1697.705,1701.8575,1685.2475,1681.095,1676.9425
MAXHEALTH,1085.724167,1087.548333,1089.3725,1082.075833,1080.251667,1078.4275
MAZDOCK,2648.991667,2656.783333,2664.575,2633.408333,2625.616667,2617.825
METROPOLIS,1935.930833,1940.761667,1945.5925,1926.269167,1921.438333,1916.6075
MINDACORP,591.6620833,592.5741667,593.48625,589.8379167,588.9258333,588.01375
MMTC,57.83658333,57.97316667,58.10975,57.56341667,57.42683333,57.29025
MSUMI,45.60875,45.6775,45.74625,45.47125,45.4025,45.33375
MOTILALOFS,917.9004167,919.6008333,921.30125,914.4995833,912.7991667,911.09875
MPHASIS,2914.6425,2920.885,2927.1275,2902.1575,2895.915,2889.6725
MRF,153832.1667,154039.3333,154246.5,153417.8333,153210.6667,153003.5
MRPL,157.14525,157.5605,157.97575,156.31475,155.8995,155.48425
MCX,10150.88333,10180.76667,10210.65,10091.11667,10061.23333,10031.35
MUTHOOTFIN,3710.268333,3718.536667,3726.805,3693.731667,3685.463333,3677.195
NH,1940.634167,1943.668333,1946.7025,1934.565833,1931.531667,1928.4975
NATCOPHARM,952.88,956.51,960.14,945.62,941.99,938.36
NATIONALUM,269.525,269.8,270.075,268.975,268.7,268.425
NAVA,530.87875,532.1575,533.43625,528.32125,527.0425,525.76375
NAVINFLUOR,5775.725,5786.45,5797.175,5754.275,5743.55,5732.825
NBCC,112.7363333,112.9526667,113.169,112.3036667,112.0873333,111.871
NCC,169.7513333,170.0226667,170.294,169.2086667,168.9373333,168.666
NESTLEIND,1243.481667,1244.563333,1245.645,1241.318333,1240.236667,1239.155
NETWEB,3210.675,3223.05,3235.425,3185.925,3173.55,3161.175
NEULANDLAB,17034.6,17074.2,17113.8,16955.4,16915.8,16876.2
NEWGEN,903.5575,906.115,908.6725,898.4425,895.885,893.3275
NHPC,76.96333333,77.03666667,77.11,76.81666667,76.74333333,76.67
NAM-INDIA,835.8254167,837.8008333,839.77625,831.8745833,829.8991667,827.92375
NIVABUPA,74.53375,74.6575,74.78125,74.28625,74.1625,74.03875
NLCINDIA,238.0841667,238.4783333,238.8725,237.2958333,236.9016667,236.5075
NMDC,76.09191667,76.21383333,76.33575,75.84808333,75.72616667,75.60425
NSLNISP,41.50875,41.5775,41.64625,41.37125,41.3025,41.23375
NTPCGREEN,91.29916667,91.41833333,91.5375,91.06083333,90.94166667,90.8225
NTPC,323.2433333,323.5366667,323.83,322.6566667,322.3633333,322.07
NUVAMA,7087.758333,7097.016667,7106.275,7069.241667,7059.983333,7050.725
NUVOCO,353.5383333,354.3266667,355.115,351.9616667,351.1733333,350.385
OBEROIRLTY,1667.815833,1671.931667,1676.0475,1659.584167,1655.468333,1651.3525
ONGC,242.5059167,242.7818333,243.05775,241.9540833,241.6781667,241.40225
OIL,408.5808333,409.0116667,409.4425,407.7191667,407.2883333,406.8575
OLAELEC,36.32166667,36.52333333,36.725,35.91833333,35.71666667,35.515
